{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 1334}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 1334}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 968}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60527, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60527, 'dst_port': 443, 'packet_len': 118}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 56}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 233}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 125}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 85}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 56}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 153}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 769}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 556}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 85}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60525, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 56}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 56}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 233}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60527, 'packet_len': 116}
{'src_ip': '192.168.240.214', 'dst_ip': '108.138.26.49', 'protocol': 6, 'src_port': 60527, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '108.138.26.49', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60525, 'packet_len': 56}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 153}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60529, 'dst_port': 443, 'packet_len': 737}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 60}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 128}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 146}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 544}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 1354}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 1354}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 984}
{'src_ip': '192.168.240.214', 'dst_ip': '192.168.240.255', 'protocol': 17, 'src_port': 137, 'dst_port': 137, 'packet_len': 92}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 1334}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 60}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60529, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60529, 'dst_port': 443, 'packet_len': 128}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 56}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 56}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 157}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60526, 'packet_len': 116}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 54}
{'src_ip': '192.168.240.214', 'dst_ip': '20.189.173.26', 'protocol': 6, 'src_port': 60526, 'dst_port': 443, 'packet_len': 85}
{'src_ip': '20.189.173.26', 'dst_ip': '192.168.240.214', 'protocol': 6, 'src_port': 443, 'dst_port': 60529, 'packet_len': 157}
